id,status,summary,description,lat,lng,address,created_at,acknowledged_at,closed_at,url,media,time to acknowledge,time to close
15645099,Acknowledged,Traffic Signal Repair,The sensors at the intersection of Huntoon and Washburn are very broken. Cars are backed up for blocks on the regular because the sensors moving East on Huntoon do not work well at all. Cars can sit for 10 minutes before everyone gets desperate and starts turning right just to get out of the line. One morning it was so bad that an officer in traffic escorted us all through. Please fix the timer or sensors.,39.0441358429888,-95.6971105188131,"1243 Sw Washburn Ave Topeka, KS 66604, USA",2023-11-21 13:54:54+00:00,2023-11-21 13:54:58+00:00,,https://seeclickfix.com/api/v2/issues/15645099,"{'video_url': None, 'image_full': None, 'image_square_100x100': None, 'representative_image_url': 'https://seeclickfix.com/assets/categories/signs-3b1fbd7c0827d225d542f5d5261fecd44f62526a8087b0372f397a12d6069c0e.png'}",0 days 00:00:04.000000000,
15644668,Closed,"Property Maintenance, Code Violations & Graffiti","1421. The upstairs window is clearly wide open and there is a light on. as the picture clearly demonstrates.
if a city worker could please enter the home and turn off the light and see if there are any honeless still living there. and please close the window. or board it up so that rain snow sleet hail do not further destroy the property. has there been any luck in contacting the homeowner Mr Penner? is it possible to give his contact information, address or phone number that I may speak to him? I thought the power to the home was already shut off the same way the water was? are we sure they're not homeless people in there still? I'm sorry to be annoying but the law states that I cannot do anything I must follow the proper channels and so I'm doing such. please kill the power to the unoccupied residency and vacate any vagrants. is Mr Penner still paying electricity at this property? you know he's not paying his property tax. so it seem a little bit odd that he's funding electricity. doesn't add up.
 Can you pease tell Mr Penner all is not lost and the home can be salvaged. #protectTopeka",39.0397844,-95.6878942,"1421 Sw Western Ave Topeka, KS 66604, USA",2023-11-21 08:30:14+00:00,2023-11-21 08:31:20+00:00,2023-11-21 13:20:23+00:00,https://seeclickfix.com/api/v2/issues/15644668,"{'video_url': None, 'image_full': 'https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSk81RndFPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--a5fdc5f4ac61f860eb71a9e88e16d409f05a7d70/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RUdGMWRHOWZiM0pwWlc1MFZEb0tjM1J5YVhCVU9ndHlaWE5wZW1WSklndzRNREI0TmpBd0Jqc0dWQT09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--ee2a5b821fe0552ba6053903421e37a595d06845/img-10000213436068754745566259626.jpg', 'image_square_100x100': 'https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSk81RndFPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--a5fdc5f4ac61f860eb71a9e88e16d409f05a7d70/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RUdGMWRHOWZiM0pwWlc1MFZEb0tjM1J5YVhCVU9ndHlaWE5wZW1WSklnMHhNREI0TVRBd1hnWTdCbFE2REdkeVlYWnBkSGxKSWd0alpXNTBaWElHT3daVU9ndGxlSFJsYm5SSklnd3hNREI0TVRBd0Jqc0dWQT09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--c6de1b85bcf6bb709fd9765dc81479dcfbbcac37/img-10000213436068754745566259626.jpg', 'representative_image_url': 'https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSk81RndFPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--a5fdc5f4ac61f860eb71a9e88e16d409f05a7d70/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RUdGMWRHOWZiM0pwWlc1MFZEb0tjM1J5YVhCVU9ndHlaWE5wZW1WSklnMHhNREI0TVRBd1hnWTdCbFE2REdkeVlYWnBkSGxKSWd0alpXNTBaWElHT3daVU9ndGxlSFJsYm5SSklnd3hNREI0TVRBd0Jqc0dWQT09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--c6de1b85bcf6bb709fd9765dc81479dcfbbcac37/img-10000213436068754745566259626.jpg'}",0 days 00:01:06.000000000,0 days 04:50:09.000000000
15637780,Acknowledged,"Property Maintenance, Code Violations & Graffiti",What appears to be the front end of a vehicle in yard for months along with other items and debris needing cleaned up,39.0388639989475,-95.6971239744206,"1525 Sw Washburn Ave Topeka, Kansas, 66604",2023-11-19 22:13:22+00:00,2023-11-19 22:13:25+00:00,,https://seeclickfix.com/api/v2/issues/15637780,"{'video_url': None, 'image_full': None, 'image_square_100x100': None, 'representative_image_url': 'https://seeclickfix.com/assets/categories/trash-253f6f37c76ecf513079ab225a5a2acb301dc27c869c749bc6c592b779207bd5.png'}",0 days 00:00:03.000000000,
15635374,Acknowledged,Street Repair,Several large sized potholes near intersection .,39.0331204418507,-95.718545,"1900 Sw Pembroke Ln Topeka KS 66604, United States",2023-11-18 21:16:49+00:00,2023-11-18 21:22:08+00:00,,https://seeclickfix.com/api/v2/issues/15635374,"{'video_url': None, 'image_full': 'https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQ28zRndFPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--cce9bf2793c7d863c03e8e16cda3a324104bf5af/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RUdGMWRHOWZiM0pwWlc1MFZEb0tjM1J5YVhCVU9ndHlaWE5wZW1WSklndzRNREI0TmpBd0Jqc0dWQT09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--ee2a5b821fe0552ba6053903421e37a595d06845/image.jpg', 'image_square_100x100': 'https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQ28zRndFPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--cce9bf2793c7d863c03e8e16cda3a324104bf5af/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RUdGMWRHOWZiM0pwWlc1MFZEb0tjM1J5YVhCVU9ndHlaWE5wZW1WSklnMHhNREI0TVRBd1hnWTdCbFE2REdkeVlYWnBkSGxKSWd0alpXNTBaWElHT3daVU9ndGxlSFJsYm5SSklnd3hNREI0TVRBd0Jqc0dWQT09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--c6de1b85bcf6bb709fd9765dc81479dcfbbcac37/image.jpg', 'representative_image_url': 'https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQ28zRndFPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--cce9bf2793c7d863c03e8e16cda3a324104bf5af/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RUdGMWRHOWZiM0pwWlc1MFZEb0tjM1J5YVhCVU9ndHlaWE5wZW1WSklnMHhNREI0TVRBd1hnWTdCbFE2REdkeVlYWnBkSGxKSWd0alpXNTBaWElHT3daVU9ndGxlSFJsYm5SSklnd3hNREI0TVRBd0Jqc0dWQT09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--c6de1b85bcf6bb709fd9765dc81479dcfbbcac37/image.jpg'}",0 days 00:05:19.000000000,
15633630,Acknowledged,Police General Issue,SUV with Texas license plates and broken out drivers window - abandoned along side of street. Parked along street without moving for over a week. ,39.0475322203038,-95.7026465296365,"1155 Sw Jewell Ave Topeka 66604, United States",2023-11-18 02:09:55+00:00,2023-11-18 02:09:57+00:00,,https://seeclickfix.com/api/v2/issues/15633630,"{'video_url': None, 'image_full': None, 'image_square_100x100': None, 'representative_image_url': 'https://seeclickfix.com/assets/categories_trans/no-image-af3faf07f478451d4ca455f92af96dd763f686e943607309ed059ef4fe13be21.png'}",0 days 00:00:02.000000000,
15632625,Acknowledged,General Feedback or Questions,,39.0441640562963,-95.6878772048976,"1239 Sw Western Ave Topeka, KS, 66604, USA",2023-11-17 21:24:29+00:00,2023-11-17 21:24:31+00:00,,https://seeclickfix.com/api/v2/issues/15632625,"{'video_url': None, 'image_full': None, 'image_square_100x100': None, 'representative_image_url': 'https://seeclickfix.com/assets/categories_trans/no-image-af3faf07f478451d4ca455f92af96dd763f686e943607309ed059ef4fe13be21.png'}",0 days 00:00:02.000000000,
15629794,Acknowledged,General Feedback or Questions,"Looking for an update. Been over 2 years since the june 2021 complaint. Clearly been an abandoned project and eyesore for this main thoroughfare. Owner even gave up paying taxes. Clearly they are not going to fix this. Other than the courts can the city not take over this property for the unpaid fines and actually handle the problem? So tired of these cases dragging out waiting on court dates and failure to appears and bench warrants. Just looking for an update and a quicker resolution to an abandoned eyesore on a main road so close to one of the only real attractions in this city, the university.",39.0371316278925,-95.6939830631018,"1222 Sw 17th St Topeka, KS 66604, USA",2023-11-17 14:39:06+00:00,2023-11-17 14:39:20+00:00,,https://seeclickfix.com/api/v2/issues/15629794,"{'video_url': None, 'image_full': None, 'image_square_100x100': None, 'representative_image_url': 'https://seeclickfix.com/assets/categories/bench-73d1fe9ce65bc8d18433b6b082b5f62847b1cf0a522383f720c606012d5a1b2c.png'}",0 days 00:00:14.000000000,
15628914,Acknowledged,Police General Issue,"Abandoned house, transient occupies location and goes in through the back door. Broke out 2nd floor south side window and covered with wood/cardboard. very unsafe with a lot of kids in the area ",39.0419405,-95.6927861,"1314 Sw Buchanan St Topeka, KS 66604, USA",2023-11-17 04:34:00+00:00,2023-11-17 04:34:23+00:00,,https://seeclickfix.com/api/v2/issues/15628914,"{'video_url': None, 'image_full': None, 'image_square_100x100': None, 'representative_image_url': 'https://seeclickfix.com/assets/categories_trans/no-image-af3faf07f478451d4ca455f92af96dd763f686e943607309ed059ef4fe13be21.png'}",0 days 00:00:23.000000000,
15628515,Closed,Street Light Out,all 3 street lights at the intersection have tuned purple and dim. it's dangerous. ,39.0369756,-95.7061471,"2302 Sw 17th St Topeka, KS 66604, USA",2023-11-17 00:41:53+00:00,2023-11-17 00:41:56+00:00,2023-11-20 19:50:42+00:00,https://seeclickfix.com/api/v2/issues/15628515,"{'video_url': None, 'image_full': None, 'image_square_100x100': None, 'representative_image_url': 'https://seeclickfix.com/assets/categories_trans/no-image-af3faf07f478451d4ca455f92af96dd763f686e943607309ed059ef4fe13be21.png'}",0 days 00:00:03.000000000,3 days 19:08:49.000000000
15628423,Acknowledged,Traffic Signal Repair,west side ped buttons didn't seem to work for north and south bound,39.0368850081186,-95.6790444999933,"Kansas & 17th Topeka, KS 66612, USA",2023-11-17 00:18:39+00:00,2023-11-17 00:18:50+00:00,,https://seeclickfix.com/api/v2/issues/15628423,"{'video_url': None, 'image_full': None, 'image_square_100x100': None, 'representative_image_url': 'https://seeclickfix.com/assets/categories/signs-3b1fbd7c0827d225d542f5d5261fecd44f62526a8087b0372f397a12d6069c0e.png'}",0 days 00:00:11.000000000,
