,Age,Attrition,BusinessTravel,DailyRate,Department,Education,JobRole,DistanceFromHome,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,WorkLifeBalance
0,35,Yes,Travel_Frequently,502,S,a,l,5,4,F,48,4,2,5,Divorced,9200,10448,2,Y,Yes,5,1,80,1
1,42,No,Non-Travel,497,S,a,l,3,3,F,50,4,3,5,Single,10719,9049,3,Y,No,7,2,80,4
2,34,No,Non-Travel,505,T,e,c,4,3,M,46,2,3,5,Single,9843,9941,3,Y,No,10,3,80,1
3,43,No,Non-Travel,493,T,e,c,5,2,F,48,3,1,5,Divorced,12077,10150,5,Y,Yes,1,3,80,4
4,43,Yes,Travel_Rarely,536,R,e,s,4,4,M,53,2,3,2,Single,10486,10008,2,Y,No,9,1,80,3
5,44,No,Non-Travel,511,S,a,l,6,2,F,49,4,2,2,Married,10512,9021,4,Y,Yes,9,2,80,3
6,51,No,Non-Travel,527,T,e,c,6,3,F,49,4,3,3,Single,11769,9672,2,Y,No,17,1,80,3
7,49,No,Non-Travel,516,R,e,s,2,3,F,49,4,3,3,Married,11628,9242,3,Y,No,4,1,80,2
8,40,Yes,Travel_Frequently,504,S,a,l,4,3,F,49,4,1,4,Divorced,9849,12045,2,Y,No,22,1,80,3
9,38,No,Non-Travel,496,S,a,l,5,4,F,49,4,1,5,Married,9666,10949,3,Y,No,17,3,80,3
10,42,No,Travel_Rarely,490,R,e,s,3,3,F,50,4,3,4,Married,10692,8043,4,Y,Yes,14,2,80,1
11,30,No,Non-Travel,510,T,e,c,2,3,M,48,3,1,2,Married,11448,10020,2,Y,No,11,3,80,3
12,65,No,Non-Travel,505,T,e,c,4,4,M,50,2,1,2,Married,9714,11179,2,Y,No,10,3,80,2
13,39,No,Non-Travel,507,S,a,l,3,3,M,53,4,3,5,Single,10215,11106,4,Y,Yes,11,1,80,3
14,28,No,Non-Travel,483,T,e,c,4,2,M,44,3,3,2,Divorced,10242,10723,3,Y,No,3,3,80,3
15,30,No,Non-Travel,492,T,e,c,3,3,F,51,4,2,2,Married,10057,11020,1,Y,No,5,2,80,3
16,36,No,Travel_Rarely,486,S,a,l,6,4,M,48,4,3,5,Divorced,10442,9681,2,Y,No,14,3,80,3
17,60,No,Non-Travel,494,S,a,l,4,4,F,49,4,3,5,Single,7969,7797,1,Y,No,10,2,80,2
18,50,No,Non-Travel,495,R,e,s,6,4,M,48,4,2,3,Married,8773,10747,2,Y,No,7,2,80,2
19,38,No,Non-Travel,503,R,e,s,2,2,M,48,4,2,2,Divorced,10564,11221,1,Y,Yes,11,3,80,2
20,59,No,Travel_Rarely,495,R,e,s,7,4,F,48,3,2,5,Single,10991,8530,2,Y,No,5,2,80,2
