dish_id, total_calories, total_mass, total_fat, total_carb, total_protein, ingredients
dish_1561662216, 300.794281, 193.000000, 12.387489, 28.218290, 18.633970, soy sauce; garlic; white rice; parsley; onions; brown rice; vinegar; apple; mixed greens; sugar; salt; lemon juice; olive oil; pork; bok choy; pepper; millet
dish_1562688426, 137.569992, 88.000000, 8.256000, 5.190000, 10.297000, roasted potatoes; chicken apple sausage
dish_1561662054, 419.438782, 292.000000, 23.838249, 26.351543, 25.910593, pepper; white rice; mixed greens; garlic; soy sauce; millet; lemon juice; bok choy; olive oil; onions; vinegar; green beans; pork; apple; sugar; salt; parsley
dish_1562008979, 382.936646, 290.000000, 22.224644, 10.173570, 35.345387, jalapenos; lemon juice; pork; wheat berry; cabbage; pepper; salt; carrot; garlic; caesar salad; olive oil; parsley; mayonnaise
dish_1560455030, 20.590000, 103.000000, 0.148000, 4.625000, 0.956000, cherry tomatoes; cucumbers; baby carrots
dish_1558372433, 74.360001, 143.000000, 0.286000, 0.429000, 20.020000, deprecated
dish_1563379132, 232.050003, 119.000000, 14.280000, 14.280000, 10.591001, chilaquiles
dish_1565640549, 45.482903, 139.000000, 1.568471, 7.043886, 2.641478, tomatoes; cilantro; olive oil; mustard greens; lemon juice; onions; cucumbers; salt; arugula; jalapenos; asparagus; lime; mangos; cherry tomatoes
dish_1563207364, 309.269989, 271.000000, 13.774000, 30.657000, 15.010000, scrambled eggs; yam; grapes; egg whites; olive oil; sweet potato
dish_1561575474, 120.058434, 183.000000, 4.966118, 17.412746, 2.990431, salt; eggplant; roasted potatoes; cauliflower; olive oil
dish_1550795690, 68.119995, 131.000000, 0.262000, 18.340000, 0.393000, apple
dish_1563216717, 246.007996, 332.000000, 5.636517, 16.284782, 33.068710, garlic; squash; cherry tomatoes; chicken breast; spinach (raw); parmesan cheese; wheat berry; olive oil; thyme; honeydew melons; salt; broccoli
dish_1565972591, 195.199997, 122.000000, 12.200000, 3.660000, 17.080000, chicken apple sausage
dish_1568649312, 44.459999, 78.000000, 0.234000, 10.920000, 0.546000, berries
dish_1550876012, 253.520004, 207.000000, 4.455999, 12.460000, 38.608002, chicken; cantaloupe; potatoes
dish_1551565034, 7.790000, 19.000000, 0.038000, 1.900000, 0.171000, carrot
dish_1550860747, 39.500000, 79.000000, 0.079000, 10.270000, 0.395000, pineapple
dish_1566245398, 506.355377, 230.000000, 31.183908, 4.258222, 49.023197, olive oil; lime; salt; garlic; cauliflower; steak; roast chicken; wheat berry
dish_1563381680, 32.459999, 6.000000, 2.520000, 0.084000, 2.220000, bacon
dish_1562183096, 41.188980, 95.000000, 2.571043, 3.280260, 2.804970, pepper; chard; blueberries; mushroom; vinegar; arugula; mustard; olive oil; walnuts; salt
dish_1563476551, 1116.391113, 750.000000, 51.413692, 74.705963, 85.498482, shallots; salmon; mushroom; ginger; squash; brownies; lemon juice; sour cream; lime; garlic; cheese pizza; wine; cream; brown rice; jalapenos; spinach (raw); beef; pasta; thyme; olive oil; broccoli; onions; zucchini; salt; cilantro; chili
dish_1559844951, 274.335999, 122.000000, 17.906000, 22.792000, 9.784000, almonds; potatoes
dish_1550778583, 67.759995, 88.000000, 0.088000, 14.960000, 1.760000, potatoes
dish_1562963704, 663.755798, 479.000000, 28.423254, 66.054832, 35.921761, radishes; bok choy; vinegar; salt; roasted potatoes; mixed greens; soy sauce; caesar salad; garlic; sugar; pepper; white rice; pork; rice noodles; cabbage; pizza; olive oil; carrot; green onions
dish_1566417398, 56.892494, 46.000000, 5.357862, 2.088042, 0.792647, mustard; vinegar; mixed greens; celery root; olive oil; salt; cherry tomatoes
dish_1561739238, 274.190002, 257.000000, 9.785000, 37.556999, 9.465000, egg whites; hash browns; berries; sweet potato
dish_1562611680, 326.888977, 256.000000, 19.411798, 24.775015, 16.028036, cilantro; garlic; olive oil; pepperoni pizza; lemon juice; onions; vinegar; blueberries; salt; caesar salad; steak; kale; jalapenos; spinach (raw); mustard; white rice; radishes; pineapple
dish_1568144828, 76.748177, 152.000000, 4.168533, 10.369692, 1.329856, salt; pepper; carrot; olive oil; olives; cherry tomatoes
dish_1550708440, 37.500000, 75.000000, 0.075000, 9.750000, 0.375000, pineapple
dish_1551307090, 171.550003, 52.000000, 11.686000, 11.480000, 6.152000, potato chips; bacon; mushroom
dish_1564432238, 455.387939, 315.000000, 23.154680, 34.854778, 28.074873, cherry tomatoes; cauliflower; lime; mayonnaise; jalapenos; pepperoni pizza; parsley; vinegar; lemon juice; cabbage; mixed greens; lettuce; salt; pepper; pineapple; pork; wheat berry; onions; cucumbers; olive oil; garlic; carrot
dish_1563468327, 351.886047, 483.000000, 9.768622, 57.495316, 12.099887, yam; sweet potato; cottage cheese; pineapple; watermelon; olive oil; berries
dish_1562862493, 198.320007, 134.000000, 14.740000, 2.144000, 13.400001, scrambled eggs
dish_1558549008, 20.700001, 115.000000, 0.230000, 4.485000, 1.035000, cherry tomatoes
dish_1560453174, 329.716248, 256.000000, 18.145134, 10.521854, 32.137600, basil; rosemary; carrot; olive oil; almonds; lemon juice; parsley; green beans; blueberries; chicken; pepper; salt; garlic; vinegar; zucchini; mustard; spinach (raw); thyme; wheat berry; squash
dish_1551226363, 17.150000, 49.000000, 0.196000, 3.430000, 1.176000, broccoli
